SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,DATE
SOUTHWEST,EQ,198.9,204.89,198.76,200.07,198.58,90501,181.18,2026-09-17
SPAL,EQ,973.3,1010.1,969.0,1003.1,974.9,47780,474.04,2026-09-17
SPANDANA,EQ,225.8,231.2,223.81,227.02,225.8,55272,125.87,2026-09-17
SPARC,EQ,184.0,195.36,183.08,193.16,185.59,836310,1599.77,2026-09-17
SPCENET,EQ,3.25,3.3,3.1,3.19,3.24,912892,29.12,2026-09-17
SPENCERS,EQ,28.4,28.5,27.52,28.17,28.21,22154,6.22,2026-09-17
SPIC,EQ,66.77,68.2,66.1,66.92,66.83,294399,198.5,2026-09-17
SPLIL,EQ,29.57,30.0,29.57,29.95,29.57,4639,1.38,2026-09-17
SPLPETRO,EQ,800.6,814.9,790.6,807.0,792.7,113748,918.35,2026-09-17
SPMLINFRA,EQ,171.58,172.84,168.61,170.67,172.03,63567,108.38,2026-09-17
SPORTKING,EQ,201.25,206.0,199.41,200.53,200.96,173075,349.31,2026-09-17
SRD,EQ,40.19,40.25,39.0,39.54,40.09,7101,2.81,2026-09-17
SRF,EQ,2505.0,2554.0,2501.0,2536.0,2480.1,796952,20236.13,2026-09-17
SRGHFL,EQ,120.0,132.0,118.6,126.65,126.4,106102,130.25,2026-09-17
SRHHYPOLTD,EQ,510.0,520.0,509.95,517.6,509.7,19885,102.86,2026-09-17
SRM,EQ,419.9,428.45,419.9,425.75,419.8,23088,98.01,2026-09-17
SRTL,EQ,36.86,38.28,36.5,37.98,36.86,24385,9.12,2026-09-17
SSDL,EQ,60.29,62.5,59.1,62.08,59.7,36959,22.62,2026-09-17
SSWL,EQ,350.95,356.85,346.3,348.25,350.05,440929,1549.28,2026-09-17
STANLEY,EQ,136.07,138.49,135.41,137.63,135.72,48824,66.93,2026-09-17
STAR,EQ,1180.0,1214.9,1162.0,1200.2,1183.9,225030,2700.27,2026-09-17
STARCEMENT,EQ,186.5,188.8,184.61,188.33,187.3,215639,405.22,2026-09-17
STARHEALTH,EQ,546.0,562.85,539.5,560.55,545.7,373802,2075.57,2026-09-17
STARPAPER,EQ,160.0,161.5,152.5,155.92,161.46,59733,93.07,2026-09-17
STARTECK,EQ,277.0,277.0,235.15,237.45,236.8,700,1.69,2026-09-17
STCINDIA,EQ,111.96,113.95,110.9,111.4,111.08,17027,19.01,2026-09-17
STEAMHOUSE,EQ,94.5,103.95,91.6,102.55,81.0,81139258,80488.26,2026-09-17
STEELCAS,EQ,299.25,308.0,296.15,303.45,299.25,154963,469.18,2026-09-17
STEELCITY,EQ,87.69,87.7,84.5,85.77,85.25,7679,6.55,2026-09-17
STEELXIND,EQ,10.92,11.52,10.92,11.2,11.07,5627901,635.0,2026-09-17
STEL,EQ,602.05,637.8,602.05,631.9,602.05,5198,32.42,2026-09-17
STLNETWORK,EQ,39.48,40.91,39.28,40.91,38.97,5830611,2363.09,2026-09-17
STLSTRINF,EQ,27.18,27.8,25.0,25.15,26.52,22466,5.88,2026-09-17
STOVEKRAFT,EQ,818.8,843.8,818.8,833.65,828.55,64463,538.25,2026-09-17
STUDDS,EQ,409.95,413.45,403.5,404.35,404.85,14567,59.12,2026-09-17
STYL,EQ,361.9,373.0,358.4,365.85,361.2,135224,496.19,2026-09-17
STYLAMIND,EQ,3152.2,3278.0,3152.2,3238.2,3188.1,37214,1206.75,2026-09-17
STYLEBAAZA,EQ,372.0,390.9,369.45,388.05,372.3,1409608,5364.53,2026-09-17
STYRENIX,EQ,2059.7,2088.9,2055.0,2065.9,2059.7,17937,371.74,2026-09-17
SUBEXLTD,EQ,19.79,20.5,19.45,19.9,19.59,10284365,2052.44,2026-09-17
SUBROS,EQ,678.0,695.0,678.0,689.6,678.0,31401,216.2,2026-09-17
SUDARCOLOR,EQ,370.5,386.0,370.0,377.6,370.5,10787,40.69,2026-09-17
